guest_black,host_race_black,host_gender_M,ten_reviews,multiple_listings,shared_property,log_price,yes
1,0,0,1,0,1,5.0106354,1
1,0,0,0,0,1,4.3820267,0
1,0,0,0,0,1,4.0073333,0
1,0,1,1,1,0,5.0106354,0
1,1,0,1,1,1,3.5553482,1
1,1,0,0,0,0,5.0106354,1
0,0,0,1,0,0,5.2933049,1
0,0,0,1,0,1,4.3174882,0
1,0,0,0,0,1,3.9120231,0
0,0,0,0,0,1,4.0943446,0
0,0,0,1,0,0,5.0106354,0
0,0,0,1,0,1,4.4426513,0
1,0,1,1,1,0,6.3784261,1
1,1,0,0,0,1,4.6051702,0
1,0,1,0,0,0,4.7004805,0
1,0,1,1,1,0,4.7791233,1
1,0,1,1,0,0,5.8289456,0
1,0,1,1,0,0,5.187386,1
0,0,0,0,0,1,4.4998097,
0,0,0,1,0,1,4.3174882,0
1,0,0,1,1,0,6.5510802,0
1,0,0,1,1,0,5.1647859,0
1,0,0,1,1,1,4.4886365,0
0,0,0,1,0,0,5.0106354,0
0,0,1,0,0,0,2.5649493,0
1,0,0,1,1,0,4.4886365,0
1,0,0,1,0,1,3.9120231,1
1,0,0,1,0,1,4.0943446,1
0,0,1,1,1,1,5.2983174,0
1,0,0,1,1,1,3.7376697,1
1,0,0,1,1,0,4.4998097,0
1,0,0,1,1,0,5.3471074,0
1,0,1,0,0,1,4.4998097,0
0,0,0,1,1,0,4.4773369,0
1,0,0,1,1,0,5.5174527,0
0,0,0,1,0,0,4.9972124,0
0,0,0,1,0,0,4.59512,0
1,0,1,1,0,0,4.934474,0
1,0,1,0,0,0,4.2484951,0
1,0,0,0,0,0,5.9914646,0
1,1,0,1,0,0,4.7004805,0
1,0,0,1,0,0,5.187386,0
0,0,1,1,1,1,4.59512,1
0,0,1,0,1,1,4.3694477,1
0,0,1,1,1,0,7.0859013,0
0,0,0,0,0,0,4.7874918,0
0,0,1,1,0,0,4.59512,0
1,0,0,1,0,0,4.6728287,1
0,0,0,0,1,1,4.7706847,0
1,0,0,0,0,0,6.6846118,0
1,0,0,1,0,0,4.6051702,1
1,0,0,1,0,0,4.8283138,0
1,0,0,1,0,0,4.7004805,1
1,0,0,1,0,1,4.0943446,1
0,0,0,0,0,1,4.0775375,1
1,0,0,1,1,0,4.3820267,1
0,0,1,1,0,1,4.8598123,1
1,0,0,1,0,0,4.2484951,0
0,1,1,1,1,0,5.3706379,1
0,0,1,1,0,0,5.1647859,0
0,0,0,1,1,1,4.4886365,0
1,0,0,1,1,1,4.9052749,0
0,0,0,0,0,1,5.2983174,0
0,1,0,0,0,1,4.5108595,0
0,0,1,1,1,0,5.0039463,1
0,0,1,1,0,0,4.9052749,1
0,0,0,0,1,0,4.9767337,0
0,0,0,1,0,0,4.7004805,1
1,0,0,1,0,0,4.5538769,1
